id,date,minhr,maxhr,meanhr,sdhr
2022484408,2016-04-12,52,134,75.80417701,16.29165129
2022484408,2016-04-13,51,156,80.3375844,18.19323707
2022484408,2016-04-14,50,127,72.62859712,13.48228137
2022484408,2016-04-15,53,189,80.43738212,17.90112393
2022484408,2016-04-16,49,136,75.96054725,16.74518949
2022484408,2016-04-17,52,161,83.91713824,17.86168602
2022484408,2016-04-18,54,153,82.71282877,19.70579098
2022484408,2016-04-19,54,162,81.954,18.41127947
2022484408,2016-04-20,50,166,83.44403974,19.35922126
2022484408,2016-04-21,53,203,86.37481962,23.01569061
2022484408,2016-04-22,52,153,80.12544358,19.03811295
2022484408,2016-04-23,50,109,71.7556247,10.70309576
2022484408,2016-04-24,53,163,82.4212402,20.61291207
2022484408,2016-04-25,49,159,82.59916055,23.23040966
2022484408,2016-04-26,51,154,83.27837451,20.79332638
2022484408,2016-04-27,38,145,80.89912182,15.44636759
2022484408,2016-04-28,51,114,71.25103399,10.61817327
2022484408,2016-04-29,50,134,83.41287252,16.76516802
2022484408,2016-04-30,51,123,77.54921619,12.48977859
2022484408,2016-05-01,44,118,73.53145917,16.61519582
2022484408,2016-05-10,57,166,86.58479771,19.23091211
2022484408,2016-05-11,55,138,83.52272192,16.2298867
2022484408,2016-05-12,55,152,81.41366601,16.34956917
2022484408,2016-05-02,50,137,77.17174303,15.85527274
2022484408,2016-05-03,51,169,83.01962158,19.03373653
2022484408,2016-05-04,54,159,82.80337349,15.07876348
2022484408,2016-05-05,55,156,80.71003112,15.47704924
2022484408,2016-05-06,60,118,81.7220978,11.99171517
2022484408,2016-05-07,52,128,76.06818182,15.56975641
2022484408,2016-05-08,53,127,76.95872093,13.45330124
2022484408,2016-05-09,51,133,81.51448232,15.75362964
2026352035,2016-04-17,63,80,68.65625,3.486182523
2026352035,2016-04-25,70,125,99.50581395,7.662667355
2026352035,2016-05-02,70,122,84.13457077,9.091549219
2026352035,2016-05-09,70,123,98.23390081,9.533802916
2347167796,2016-04-12,57,172,86.08233378,16.84327245
2347167796,2016-04-13,55,158,73.81290462,13.0145206
2347167796,2016-04-14,52,154,72.57948214,10.27776613
2347167796,2016-04-15,55,136,75.68525688,13.72296327
2347167796,2016-04-16,58,168,96.62390703,22.98409812
2347167796,2016-04-17,55,134,75.3621802,9.519801785
2347167796,2016-04-18,53,134,71.23214477,12.56956956
2347167796,2016-04-19,53,195,81.30099693,18.32849008
2347167796,2016-04-20,53,161,78.18208496,15.75851014
2347167796,2016-04-21,51,171,73.41425342,13.50927184
2347167796,2016-04-22,53,165,71.99640209,11.74659234
2347167796,2016-04-23,53,157,83.43309232,18.44339948
2347167796,2016-04-24,54,127,77.57597373,12.72531069
2347167796,2016-04-25,53,160,73.861356,12.90268398
2347167796,2016-04-26,49,122,71.73179652,9.506563249
2347167796,2016-04-27,51,144,75.19362135,14.16209473
2347167796,2016-04-28,55,138,73.40854132,8.628068744
2347167796,2016-04-29,54,85,62.86971235,4.291922331
