id,date,minhr,maxhr,meanhr,sdhr
2022484408,4/12/2016,52,134,75.80417700578991,16.291651294057743
2022484408,4/13/2016,51,156,80.33758439609902,18.193237070039707
2022484408,4/14/2016,50,127,72.62859712230215,13.482281370953547
2022484408,4/15/2016,53,189,80.43738211995473,17.901123927115773
2022484408,4/16/2016,49,136,75.96054724785238,16.745189490007235
2022484408,4/17/2016,52,161,83.9171382376718,17.8616860208398
2022484408,4/18/2016,54,153,82.71282877079979,19.70579097513779
2022484408,4/19/2016,54,162,81.954,18.41127947278108
2022484408,4/20/2016,50,166,83.44403973509934,19.35922126087544
2022484408,4/21/2016,53,203,86.37481962481962,23.015690609227196
2022484408,4/22/2016,52,153,80.12544357700497,19.038112950110463
2022484408,4/23/2016,50,109,71.75562470081378,10.703095755666913
2022484408,4/24/2016,53,163,82.42124019957234,20.612912065104844
2022484408,4/25/2016,49,159,82.59916054564533,23.230409664290352
2022484408,4/26/2016,51,154,83.27837450769782,20.793326384635147
2022484408,4/27/2016,38,145,80.89912181941004,15.446367590833377
2022484408,4/28/2016,51,114,71.25103398669305,10.618173274950182
2022484408,4/29/2016,50,134,83.41287251655629,16.765168024705243
2022484408,4/30/2016,51,123,77.54921618665695,12.489778585754324
2022484408,5/1/2016,44,118,73.53145917001339,16.615195816987182
2022484408,5/10/2016,57,166,86.58479771148345,19.23091210978396
2022484408,5/11/2016,55,138,83.52272192135625,16.229886696159685
2022484408,5/12/2016,55,152,81.4136660051035,16.34956917372293
2022484408,5/2/2016,50,137,77.17174302533914,15.855272742244473
2022484408,5/3/2016,51,169,83.01962158374212,19.033736532880837
2022484408,5/4/2016,54,159,82.8033734939759,15.078763482294725
2022484408,5/5/2016,55,156,80.71003111572085,15.47704924025122
2022484408,5/6/2016,60,118,81.7220977976857,11.991715169597146
2022484408,5/7/2016,52,128,76.06818181818181,15.569756413192811
2022484408,5/8/2016,53,127,76.95872093023256,13.453301239634648
2022484408,5/9/2016,51,133,81.51448231717075,15.753629641674683
2026352035,4/17/2016,63,80,68.65625,3.486182523389651
2026352035,4/25/2016,70,125,99.50581395348837,7.662667354562555
2026352035,5/2/2016,70,122,84.13457076566125,9.091549218865305
2026352035,5/9/2016,70,123,98.2339008142117,9.5338029155021
2347167796,4/12/2016,57,172,86.08233377758033,16.843272448671122
2347167796,4/13/2016,55,158,73.81290461804058,13.014520601142957
2347167796,4/14/2016,52,154,72.57948213700426,10.277766133677678
2347167796,4/15/2016,55,136,75.68525687977399,13.722963268782213
2347167796,4/16/2016,58,168,96.62390702822357,22.984098121243903
2347167796,4/17/2016,55,134,75.36218020022247,9.519801784551003
2347167796,4/18/2016,53,134,71.23214476924724,12.569569564902938
2347167796,4/19/2016,53,195,81.30099693251533,18.328490084976504
2347167796,4/20/2016,53,161,78.18208496366685,15.758510144349929
2347167796,4/21/2016,51,171,73.41425341802132,13.509271837760336
2347167796,4/22/2016,53,165,71.99640209332752,11.746592344853857
2347167796,4/23/2016,53,157,83.43309231897726,18.443399481427786
2347167796,4/24/2016,54,127,77.57597373188406,12.725310686205589
2347167796,4/25/2016,53,160,73.86135600335852,12.902683977933092
2347167796,4/26/2016,49,122,71.73179652000444,9.506563248577434
2347167796,4/27/2016,51,144,75.19362135263515,14.162094727549427
2347167796,4/28/2016,55,138,73.40854132002218,8.628068744476602
2347167796,4/29/2016,54,85,62.86971235194586,4.291922330779094
4020332650,4/12/2016,49,133,83.49901363248242,15.890220524765487
4020332650,4/14/2016,65,133,90.70096685082873,14.54220839182043
4020332650,4/15/2016,51,191,92.92564172832739,24.095608394548208
4020332650,4/16/2016,62,143,100.90332042707966,20.47741137061032
4020332650,4/17/2016,66,116,98.82608695652173,17.32471587216226
